** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,7
small-town.txt,44892,1000,8
town.txt,451617,10000,49
large-town.txt,2255053,50000,108
city.txt,4511688,100000,133
large-city.txt,22554540,500000,796
metropolis.txt,45107513,1000000,1675
capital.txt,90209834,2000000,3683
megalopolis.txt,227564229,5000000,10985
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,2
town.txt,451617,10000,15
large-town.txt,2255053,50000,62
city.txt,4511688,100000,216
large-city.txt,22554540,500000,593
metropolis.txt,45107513,1000000,1313
capital.txt,90209834,2000000,2616
megalopolis.txt,227564229,5000000,6167
