** Analysing toSortedArray() speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,1
small-town.txt,44892,1000,4
town.txt,451617,10000,28
large-town.txt,2255053,50000,138
city.txt,4511688,100000,386
large-city.txt,22554540,500000,1516
metropolis.txt,45107513,1000000,3405
capital.txt,90209834,2000000,9626
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,1
town.txt,451617,10000,20
large-town.txt,2255053,50000,119
city.txt,4511688,100000,258
large-city.txt,22554540,500000,1721
metropolis.txt,45107513,1000000,4210
capital.txt,90209834,2000000,10636
